Category, Query
1, I'm thinking of killing myself
1, I need mental help
1, I'm going crazy
1, I need to talk to a psychiatrist
1, I need to talk to someone about what's going on in my head
1, My head isn't right
1, I'm really tired
1, I'm depressed
1, I'm not happy
1, I feel like a failure
1, I don't know what to do
1, I'm feeling really sad
2, I think I might have chlamydia
2, I think I might have gonorrhea
2, I think I might have aids
2, I think I might have herpes
2, I had unprotected sex
2, I need a sex disease screen
2, I need an STD screen
2, I am worried about having a disease because I had sex
4, I'm thinking about having a drink
4, I am addicted to smack
4, I'm addicted to cocaine
4, I want to get high
4, I want to get wasted
4, I want to get drunk
4, I'm about to fall off the wagon
4, I need AA
4, I need NA
4, Where is the nearest substance abuse clinic
4, I need an illicit substance
5, I need a physical
5, I need to see a doctor
5, I sprained my ankle
5, I hurt my knee
5, I sprained my knee
5, I hurt my hip
5, I hurt my shoulder
5, I hurt my wrist
5, I hurt my elbow
5, My toe is broken
5, I think I broke my nose
5, My ear hurts
5, I'm dizzy
6, Where's the nearest senior center
6, I'm old
6, I want to play shuffleboard
7, I'm about to have sex
7, I need a condom
7, I want to have protected sex
7, I need to wrap it up
7, I need a rubber
8, I'm cold
8, I'm freezing
8, I want to get warm
8, My heat is broken
8, My feet are frozen
9, It's sweltering
9, I need some water
9, It's too hot
9, I need to cool off
9, I'm overheating
9, I stopped sweating
9, I need a cooling center
10, I need a flu shot
10, I'm worried about getting sick
10, I need to be vaccinated
10, Please tell me where I can get a flu shot
