Category, Query
1, I want to die 
1, I need help
1, I am sad
1, I need to talk
1, Suicide
1, I am afraid
2, I have bumps on my labia
2, I have bumps on my penis
2, I have bumps on my genitals 
2, vagina itch
2, sex worker
3, pregnant
3, late 
3, vaginal pain
3, pabst smear 
3, pelvic pain
3, vaginal discharge
3, period
3, menstration 
3, vaginal bleeding
4, Am I an alcoholic?
4, alcohol withdrawal
4, alcohol dependency 
4, alcohol poisoning
4, bleeding nose
4, blackouts
4, prescription drugs 
4, tremors 
4, prescription abuse 
4, opioid
4, opiate 
4, klonopin 
4, xanax
4, inhalants 
4, heroin 
4, meth
4, methadone 
